name,definition
Absorbance,The amount of radiation absorbed by a material
Abundance,"The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
Acid neutralizing capacity,Acid neutralizing capacity
"Acidity, CO2 acidity",CO2 acidity
"Acidity, exchange","The total amount of the Cation Exchange Capacity (CEC) of a soil that is due to H+ and Al3+ ions. It is a proportion of the total acidity and it is dependent on the type of soil and the percentage of the CEC that is composed of exchangeable bases (Ca2+, Mg2+, K+)."
"Acidity, hot",Hot Acidity
"Acidity, mineral acidity",Mineral Acidity
"Acidity, total acidity",Total acidity
Albedo,The ratio of reflected to incident light.
Aldrin,Aldrin (C12H8Cl6)
"Alkalinity, bicarbonate",Bicarbonate Alkalinity
"Alkalinity, carbonate",Carbonate Alkalinity
"Alkalinity, carbonate plus bicarbonate","Alkalinity, carbonate plus bicarbonate"
"Alkalinity, hydroxide",Hydroxide Alkalinity
"Alkalinity, total",Total Alkalinity
Area,Area of a measurement location
Argon,Argon
Barometric pressure,Barometric pressure
Baseflow,The portion of streamflow (discharge) that is supplied by groundwater sources.
Battery Temperature,The battery temperature of a datalogger or sensing system
Battery voltage,"The battery voltage of a datalogger or sensing system, often recorded as an indicator of data reliability"
Biomass,"Mass of living biological organisms in a given area or ecosystem at a given time. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
"Biomass, phytoplankton","Total mass of phytoplankton, per unit area or volume"
"Biomass, total",Total biomass
Body length,Length of the body of an organism
Borehole log material classification,Classification of material encountered by a driller at various depths during the drilling of a well and recorded in the borehole log.
Bulk density,"The mass of many particles of the material divided by the total volume they occupy. The total volume includes particle volume, inter-particle void volume and internal pore volume."
Bulk electrical conductivity,"Bulk electrical conductivity of a medium measured using a sensor such as time domain reflectometry (TDR), as a raw sensor response in the measurement of a quantity like soil moisture."
Color,Color in quantified in color units
Counter,The total number of events within the measurement period
Density,Density
Discharge,Discharge
Distance,Distance measured from a sensor to a target object such as the surface of a water body or snow surface.
Electric Current,A flow of electric charge
Electric Energy,Electric Energy
Electric Power,Electric Power
Electrical conductivity,Electrical conductivity
Evaporation,Evaporation
Evapotranspiration,Evapotranspiration
"Evapotranspiration, potential",The amount of water that could be evaporated and transpired if there was sufficient water available.
Frequency of Rotation,Number of rotations within a time period
Friction velocity,Friction velocity
Gage height,Water level with regard to an arbitrary gage datum (also see Water depth for comparison)
Global Radiation,"Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm"
Ground heat flux,Ground heat flux
Groundwater Depth,Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset.
"Hardness, total",Total hardness
Heat index,The combination effect of heat and humidity on the temperature felt by people.
"height, above sea floor",Vertical distance from the sea floor to a point.
