name,abbreviation
meter,m
gram,g
second,s
ampere,A
kelvin,K
moles,mol
candela,cd
yottameter,Ym
zettameter,Zm
exameter,Em
petameter,Pm
terameter,Tm
gigameter,Gm
megameter,Mm
kilometer,km
hectometer,hm
dekameter,dam
decimeter,dm
centimeter,cm
millimeter,mm
micrometer,um
nanometer,nm
picometer,pm
femtometer,fm
attometer,am
zeptometer,zm
yoctometer,ym
yottagram,Yg
zettagram,Zg
exagram,Eg
petagram,Pg
teragram,Tg
gigagram,Gg
megagram,Mg
kilogram,kg
hectogram,hg
dekagram,dag
decigram,dg
centigram,cg
milligram,mg
microgram,ug
nanogram,ng
picogram,pg
femtogram,fg
attogram,ag
zeptogram,zg
yoctogram,yg
yottasecond,Ys
zettasecond,Zs
exasecond,Es
petasecond,Ps
terasecond,Ts
gigasecond,Gs
megasecond,Ms
kilosecond,ks
hectosecond,hs
dekasecond,das
decisecond,ds
centisecond,cs
millisecond,ms
microsecond,us
nanosecond,ns
picosecond,ps
femtosecond,fs
attosecond,as
zeptosecond,zs
yoctosecond,ys
yottaampere,YA
zettaampere,ZA
exaampere,EA
petaampere,PA
teraampere,TA
gigaampere,GA
megaampere,MA
kiloampere,kA
hectoampere,hA
dekaampere,daA
deciampere,dA
centiampere,cA
milliampere,mA
microampere,uA
nanoampere,nA
picoampere,pA
femtoampere,fA
attoampere,aA
zeptoampere,zA
yoctoampere,yA
yottakelvin,YK
zettakelvin,ZK
exakelvin,EK
petakelvin,PK
terakelvin,TK
gigakelvin,GK
megakelvin,MK
kilokelvin,kK
hectokelvin,hK
dekakelvin,daK
decikelvin,dK
centikelvin,cK
millikelvin,mK
microkelvin,uK
nanokelvin,nK
picokelvin,pK
femtokelvin,fK
attokelvin,aK
zeptokelvin,zK
yoctokelvin,yK
yottamoles,Ymol
zettamoles,Zmol
examoles,Emol
petamoles,Pmol
teramoles,Tmol
gigamoles,Gmol
megamoles,Mmol
kilomoles,kmol
hectomoles,hmol
dekamoles,damol
decimoles,dmol
centimoles,cmol
millimoles,mmol
micromoles,umol
nanomoles,nmol
picomoles,pmol
femtomoles,fmol
attomoles,amol
zeptomoles,zmol
yoctomoles,ymol
yottacandela,Ycd
zettacandela,Zcd
exacandela,Ecd
petacandela,Pcd
teracandela,Tcd
gigacandela,Gcd
megacandela,Mcd
kilocandela,kcd
hectocandela,hcd
dekacandela,dacd
decicandela,dcd
centicandela,ccd
millicandela,mcd
microcandela,ucd
nanocandela,ncd
picocandela,pcd
femtocandela,fcd
attocandela,acd
zeptocandela,zcd
yoctocandela,ycd
yottaradian,Yrad
zettaradian,Zrad
exaradian,Erad
petaradian,Prad
teraradian,Trad
gigaradian,Grad
megaradian,Mrad
kiloradian,krad
hectoradian,hrad
dekaradian,darad
deciradian,drad
centiradian,crad
milliradian,mrad
microradian,urad
nanoradian,nrad
picoradian,prad
femtoradian,frad
attoradian,arad
zeptoradian,zrad
yoctoradian,yrad
yottasteradian,Ysr
zettasteradian,Zsr
exasteradian,Esr
petasteradian,Psr
terasteradian,Tsr
gigasteradian,Gsr
megasteradian,Msr
kilosteradian,ksr
hectosteradian,hsr
dekasteradian,dasr
decisteradian,dsr
centisteradian,csr
millisteradian,msr
microsteradian,usr
nanosteradian,nsr
picosteradian,psr
femtosteradian,fsr
attosteradian,asr
zeptosteradian,zsr
yoctosteradian,ysr
yottahertz,Yhz
zettahertz,Zhz
exahertz,Ehz
petahertz,Phz
terahertz,Thz
gigahertz,Ghz
megahertz,Mhz
kilohertz,khz
hectohertz,hhz
dekahertz,dahz
decihertz,dhz
centihertz,chz
millihertz,mhz
microhertz,uhz
nanohertz,nhz
picohertz,phz
femtohertz,fhz
attohertz,ahz
zeptohertz,zhz
yoctohertz,yhz
yottanewton,YN
zettanewton,ZN
exanewton,EN
petanewton,PN
teranewton,TN
giganewton,GN
meganewton,MN
kilonewton,kN
hectonewton,hN
dekanewton,daN
decinewton,dN
centinewton,cN
millinewton,mN
micronewton,uN
nanonewton,nN
piconewton,pN
femtonewton,fN
attonewton,aN
zeptonewton,zN
yoctonewton,yN
yottapascal,YPa
zettapascal,ZPa
exapascal,EPa
petapascal,PPa
terapascal,TPa
gigapascal,GPa
megapascal,MPa
kilopascal,kPa
hectopascal,hPa
dekapascal,daPa
decipascal,dPa
centipascal,cPa
millipascal,mPa
micropascal,uPa
nanopascal,nPa
picopascal,pPa
femtopascal,fPa
attopascal,aPa
zeptopascal,zPa
yoctopascal,yPa
yottajoule,YJ
zettajoule,ZJ
exajoule,EJ
petajoule,PJ
terajoule,TJ
gigajoule,GJ
megajoule,MJ
kilojoule,kJ
hectojoule,hJ
dekajoule,daJ
decijoule,dJ
centijoule,cJ
millijoule,mJ
microjoule,uJ
nanojoule,nJ
picojoule,pJ
femtojoule,fJ
attojoule,aJ
zeptojoule,zJ
yoctojoule,yJ
yottawatt,YW
zettawatt,ZW
exawatt,EW
petawatt,PW
terawatt,TW
gigawatt,GW
megawatt,MW
kilowatt,kW
hectowatt,hW
dekawatt,daW
deciwatt,dW
centiwatt,cW
milliwatt,mW
microwatt,uW
nanowatt,nW
picowatt,pW
femtowatt,fW
attowatt,aW
zeptowatt,zW
yoctowatt,yW
yottacoulomb,YC
zettacoulomb,ZC
exacoulomb,EC
petacoulomb,PC
teracoulomb,TC
gigacoulomb,GC
megacoulomb,MC
kilocoulomb,kC
hectocoulomb,hC
dekacoulomb,daC
decicoulomb,dC
centicoulomb,cC
millicoulomb,mC
microcoulomb,uC
nanocoulomb,nC
picocoulomb,pC
femtocoulomb,fC
attocoulomb,aC
zeptocoulomb,zC
yoctocoulomb,yC
yottavolt,YV
zettavolt,ZV
exavolt,EV
petavolt,PV
teravolt,TV
gigavolt,GV
megavolt,MV
kilovolt,kV
hectovolt,hV
dekavolt,daV
decivolt,dV
centivolt,cV
millivolt,mV
microvolt,uV
nanovolt,nV
picovolt,pV
femtovolt,fV
attovolt,aV
zeptovolt,zV
yoctovolt,yV
yottafarad,YF
zettafarad,ZF
exafarad,EF
petafarad,PF
terafarad,TF
gigafarad,GF
megafarad,MF
kilofarad,kF
hectofarad,hF
dekafarad,daF
decifarad,dF
centifarad,cF
millifarad,mF
microfarad,uF
nanofarad,nF
picofarad,pF
femtofarad,fF
attofarad,aF
zeptofarad,zF
yoctofarad,yF
yottaohm,Yohm
zettaohm,Zohm
exaohm,Eohm
petaohm,Pohm
teraohm,Tohm
gigaohm,Gohm
megaohm,Mohm
kiloohm,kohm
hectoohm,hohm
dekaohm,daohm
deciohm,dohm
centiohm,cohm
milliohm,mohm
microohm,uohm
nanoohm,nohm
picoohm,pohm
femtoohm,fohm
attoohm,aohm
zeptoohm,zohm
yoctoohm,yohm
yottasiemens,YS
zettasiemens,ZS
exasiemens,ES
petasiemens,PS
terasiemens,TS
gigasiemens,GS
megasiemens,MS
kilosiemens,kS
hectosiemens,hS
dekasiemens,daS
decisiemens,dS
centisiemens,cS
millisiemens,mS
microsiemens,uS
nanosiemens,nS
picosiemens,pS
femtosiemens,fS
attosiemens,aS
zeptosiemens,zS
yoctosiemens,yS
yottaweber,YWb
zettaweber,ZWb
exaweber,EWb
petaweber,PWb
teraweber,TWb
gigaweber,GWb
megaweber,MWb
kiloweber,kWb
hectoweber,hWb
dekaweber,daWb
deciweber,dWb
centiweber,cWb
milliweber,mWb
microweber,uWb
nanoweber,nWb
picoweber,pWb
femtoweber,fWb
attoweber,aWb
zeptoweber,zWb
yoctoweber,yWb
yottatesla,YT
zettatesla,ZT
exatesla,ET
petatesla,PT
teratesla,TT
gigatesla,GT
megatesla,MT
kilotesla,kT
hectotesla,hT
dekatesla,daT
decitesla,dT
centitesla,cT
millitesla,mT
microtesla,uT
nanotesla,nT
picotesla,pT
femtotesla,fT
attotesla,aT
zeptotesla,zT
yoctotesla,yT
yottahenry,YH
zettahenry,ZH
exahenry,EH
petahenry,PH
terahenry,TH
gigahenry,GH
megahenry,MH
kilohenry,kH
hectohenry,hH
dekahenry,daH
decihenry,dH
centihenry,cH
millihenry,mH
microhenry,uH
nanohenry,nH
picohenry,pH
femtohenry,fH
attohenry,aH
zeptohenry,zH
yoctohenry,yH
degree Celsius,degC
yottalumen,Ylm
zettalumen,Zlm
exalumen,Elm
petalumen,Plm
teralumen,Tlm
gigalumen,Glm
megalumen,Mlm
kilolumen,klm
hectolumen,hlm
dekalumen,dalm
decilumen,dlm
centilumen,clm
millilumen,mlm
microlumen,ulm
nanolumen,nlm
picolumen,plm
femtolumen,flm
attolumen,alm
zeptolumen,zlm
yoctolumen,ylm
yottalux,Ylx
zettalux,Zlx
exalux,Elx
petalux,Plx
teralux,Tlx
gigalux,Glx
megalux,Mlx
kilolux,klx
hectolux,hlx
dekalux,dalx
decilux,dlx
centilux,clx
millilux,mlx
microlux,ulx
nanolux,nlx
picolux,plx
femtolux,flx
attolux,alx
zeptolux,zlx
yoctolux,ylx
yottakatal,Ykat
