Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
gray,Gray,Absorbed dose,Gy,http://qudt.org/vocab/unit#Gray; http://unitsofmeasure.org/ucum.html#para-30
rad,RAD,Absorbed dose,rad,http://qudt.org/vocab/unit#Rad; http://unitsofmeasure.org/ucum.html#para-33
grayPerSecond,Gray per Second,Absorbed dose rate,Gy/s,http://qudt.org/vocab/unit#GrayPerSecond
ban,Ban,Amount of information,ban,http://qudt.org/vocab/unit#Ban
bit,Bit,Amount of information,bit,http://qudt.org/vocab/unit#Bit; http://unitsofmeasure.org/ucum.html#para-48
byte,Byte,Amount of information,By,http://qudt.org/vocab/unit#Byte; http://unitsofmeasure.org/ucum.html#para-48
nat,Nat,Amount of information,nat,http://qudt.org/vocab/unit#Nat
octet,Octet,Amount of information,octet,http://www.unidata.ucar.edu/software/udunits/
arcMinute,Arc Minute,Angle,arcMin,http://qudt.org/vocab/unit#ArcMinute; http://qudt.org/vocab/unit#MinuteAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
arcSecond,Arc Second,Angle,arcSec,http://qudt.org/vocab/unit#ArcSecond; http://qudt.org/vocab/unit#SecondAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
circle,Circle,Angle,circ,http://unitsofmeasure.org/ucum.html#para-47; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
cycle,Cycle,Angle,cycle,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degree,Degree,Angle,deg,http://qudt.org/vocab/unit#DegreeAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeEast,Degree East,Angle,degE,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeMinuteSecond,Degree Minute Second,Angle,dddmmss,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
degreeNorth,Degree North,Angle,degN,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeSouth,Degree South,Angle,degS,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeTrue,Degree True,Angle,degT,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeWest,Degree West,Angle,degW,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
gon,Gon,Angle,gon,http://qudt.org/vocab/unit#Gon; http://unitsofmeasure.org/ucum.html#para-31
grad,Grad,Angle,grad,http://qudt.org/vocab/unit#Grad
milAngle(Nato),Mil Angle (Nato),Angle,mil,http://qudt.org/vocab/unit#MilAngle
